Experiment	STML
1.00175752e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068377499999999e-08	12970000	-12.0	1061.8212768214516
1.0019126320000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06839158e-08	12980000	-4.0	1062.234086969043
1.00169685e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068384360000001e-08	12990000	6.0	1062.6468829631901
1.0017592600000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06838066e-08	13000000	-5.0	1063.059664798718
1.0011051679999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068403959999999e-08	13010000	-4.0	1063.4724324704532
1.0019064199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06841094e-08	13020000	6.0	1063.885185973222
1.0017522199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068400819999999e-08	13030000	-15.0	1064.2979253018514
1.001219088e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068421859999999e-08	13040000	-9.0	1064.7106504511692
1.001986826e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06841164e-08	13050000	-6.0	1065.123361416004
1.001702398e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684186e-08	13060000	14.0	1065.5360581911855
1.0017420399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06843222e-08	13070000	-8.0	1065.9487407715433
1.0017120599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06842128e-08	13080000	-8.0	1066.3614091519078
1.0011177780000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06842882e-08	13090000	2.0	1066.774063327111
1.0021835000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068449999999999e-08	13100000	-3.0	1067.1867032919843
1.0031619400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06840908e-08	13110000	-5.0	1067.599329041361
1.001080916e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068391020000001e-08	13120000	-2.0	1068.0119405700746
1.00106458e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06842982e-08	13130000	-8.0	1068.4245378729586
1.0029987400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06841318e-08	13140000	0.0	1068.8371209448485
1.0026262799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06837112e-08	13150000	-15.0	1069.2496897805788
1.00094758e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06837142e-08	13160000	-14.0	1069.662244374987
1.0021981e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068379239999999e-08	13170000	-19.0	1070.074784722909
1.0021919799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068355800000001e-08	13180000	1.0	1070.487310819183
1.00113626e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068368399999999e-08	13190000	-4.0	1070.8998226586468
1.00242634e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0683754e-08	13200000	-5.0	1071.31232023614
1.0022122599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06833818e-08	13210000	-14.0	1071.7248035465022
1.000985212e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06834214e-08	13220000	0.0	1072.1372725845736
1.00234042e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0683565e-08	13230000	5.0	1072.5497273451954
1.0023223200000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06833406e-08	13240000	-3.0	1072.962167823209
1.001207362e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0683423e-08	13250000	-5.0	1073.374594013457
1.0019120300000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0683288e-08	13260000	-1.0	1073.7870059107831
1.000971816e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06834952e-08	13270000	7.0	1074.1994035100308
1.00238188e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0683602e-08	13280000	19.0	1074.6117868060453
1.0022190360000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068329500000001e-08	13290000	-2.0	1075.0241557936708
1.0001537239999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06835862e-08	13300000	-2.0	1075.436510467754
1.0022589e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06838958e-08	13310000	16.0	1075.8488508231417
1.00321332e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0683501e-08	13320000	2.0	1076.2611768546808
1.0001551599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06834954e-08	13330000	-16.0	1076.6734885572193
1.0011053460000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068401279999999e-08	13340000	-5.0	1077.085785925607
1.0034309799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068376820000001e-08	13350000	-12.0	1077.4980689546924
1.00024923e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06836702e-08	13360000	-4.0	1077.9103376393261
1.0002262699999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068429939999999e-08	13370000	-13.0	1078.3225919743593
1.0039569199999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684129e-08	13380000	-1.0	1078.7348319546427
1.001659138e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06837142e-08	13390000	-4.0	1079.1470575750295
